Sample Name	Protocol REF	Protocol REF	Protocol REF	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]
Truven Health Marketscan Databases	Drug list curation and drug mapping			Data Record 3: Drug ingredient mapping	drug_mapping_ingredients.tsv	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping			Data Record 3: Drug class mapping	drug_mapping_atc_classes.tsv	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 1: Drug ingredient combinations: 1-drug	db_drugs_1s.tsv 	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 1: Drug ingredient combinations: 2-drugs	db_drugs_2s.tsv 	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 1: Drug ingredient combinations: 3-drugs	db_drugs_3s.tsv 	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 1: Drug ingredient combinations: 4-drugs	db_drugs_4s.tsv 	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 1: Drug ingredient combinations: 5-drugs	db_drugs_5s.tsv	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 2: Drug class combinations: 1-drug	db_atc_classes_1s.tsv	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 2: Drug class combinations: 2-drugs	db_atc_classes_2s.tsv	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 2: Drug class combinations: 3-drugs	db_atc_classes_3s.tsv	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 2: Drug class combinations: 4-drugs	db_atc_classes_4s.tsv	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
Truven Health Marketscan Databases	Drug list curation and drug mapping	Extracting discrete exposure windows from drug prescriptions	Counting concomitant multi-drug exposures	Data Record 2: Drug class combinations: 5-drugs	db_atc_classes_5s.tsv	Dryad Digital Repository	doi:10.5061/dryad.sm847	http://dx.doi.org/10.5061/dryad.sm847
